Bundle编码,SKU组合,中文名称,香水SKU,香水中文名称,身体乳SKU,身体乳中文名称,身体乳规格,匹配状态,来源Bundle
B-2P0G-0149000129,BXS001001+BSR111002,红色LEONA香水+红色身体乳180ml,BXS001001,红色LEONA香水,BSR111002,红色身体乳180ml,180 ml,已匹配,BSR111002+BXS001001
B-2P0G-0149000507,BXS001001+BSR112002,红色LEONA香水+粉色身体乳180ml,BXS001001,红色LEONA香水,BSR112002,粉色身体乳180ml,180 ml,已匹配,BSR112002+BXS001001
B-2P0G-0149000508,BXS001001+BSR113002,红色LEONA香水+黄色身体乳180ml,BXS001001,红色LEONA香水,BSR113002,黄色身体乳180ml,180 ml,已匹配,BSR113002+BXS001001
B-2P0G-0149000510,BXS001001+BSR114002,红色LEONA香水+绿色身体乳180ml,BXS001001,红色LEONA香水,BSR114002,绿色身体乳180ml,180 ml,已匹配,BSR114002+BXS001001
,BXS001001+BSR115002,红色LEONA香水+蓝色身体乳180ml,BXS001001,红色LEONA香水,BSR115002,蓝色身体乳180ml,180 ml,未匹配,
B-2P0G-0149000509,BXS001001+BSR116002,红色LEONA香水+紫棕身体乳180ml,BXS001001,红色LEONA香水,BSR116002,紫棕身体乳180ml,180 ml,已匹配,BSR116002+BXS001001
B-2P0G-0149000136,BXS001001+BSR111001,红色LEONA香水+红色身体乳300ml,BXS001001,红色LEONA香水,BSR111001,红色身体乳300ml,300 ml,已匹配,BSR111001+BXS001001
,BXS001001+BSR112001,红色LEONA香水+粉色身体乳300ml,BXS001001,红色LEONA香水,BSR112001,粉色身体乳300ml,300 ml,未匹配,
,BXS001001+BSR113001,红色LEONA香水+黄色身体乳300ml,BXS001001,红色LEONA香水,BSR113001,黄色身体乳300ml,300 ml,未匹配,
,BXS001001+BSR114001,红色LEONA香水+绿色身体乳300ml,BXS001001,红色LEONA香水,BSR114001,绿色身体乳300ml,300 ml,未匹配,
,BXS001001+BSR115001,红色LEONA香水+蓝色身体乳300ml,BXS001001,红色LEONA香水,BSR115001,蓝色身体乳300ml,300 ml,未匹配,
,BXS001001+BSR116001,红色LEONA香水+紫棕身体乳300ml,BXS001001,红色LEONA香水,BSR116001,紫棕身体乳300ml,300 ml,未匹配,
B-2P0G-0149000513,BXS002001+BSR111002,粉色PHOEBE香水+红色身体乳180ml,BXS002001,粉色PHOEBE香水,BSR111002,红色身体乳180ml,180 ml,已匹配,BSR111002+BXS002001
B-2P0G-0149000130,BXS002001+BSR112002,粉色PHOEBE香水+粉色身体乳180ml,BXS002001,粉色PHOEBE香水,BSR112002,粉色身体乳180ml,180 ml,已匹配,BSR112002+BXS002001
B-2P0G-0149000511,BXS002001+BSR113002,粉色PHOEBE香水+黄色身体乳180ml,BXS002001,粉色PHOEBE香水,BSR113002,黄色身体乳180ml,180 ml,已匹配,BSR113002+BXS002001
B-2P0G-0149000514,BXS002001+BSR114002,粉色PHOEBE香水+绿色身体乳180ml,BXS002001,粉色PHOEBE香水,BSR114002,绿色身体乳180ml,180 ml,已匹配,BSR114002+BXS002001
,BXS002001+BSR115002,粉色PHOEBE香水+蓝色身体乳180ml,BXS002001,粉色PHOEBE香水,BSR115002,蓝色身体乳180ml,180 ml,未匹配,
B-2P0G-0149000512,BXS002001+BSR116002,粉色PHOEBE香水+紫棕身体乳180ml,BXS002001,粉色PHOEBE香水,BSR116002,紫棕身体乳180ml,180 ml,已匹配,BSR116002+BXS002001
,BXS002001+BSR111001,粉色PHOEBE香水+红色身体乳300ml,BXS002001,粉色PHOEBE香水,BSR111001,红色身体乳300ml,300 ml,未匹配,
B-2P0G-0149000133,BXS002001+BSR112001,粉色PHOEBE香水+粉色身体乳300ml,BXS002001,粉色PHOEBE香水,BSR112001,粉色身体乳300ml,300 ml,已匹配,BSR112001+BXS002001
,BXS002001+BSR113001,粉色PHOEBE香水+黄色身体乳300ml,BXS002001,粉色PHOEBE香水,BSR113001,黄色身体乳300ml,300 ml,未匹配,
,BXS002001+BSR114001,粉色PHOEBE香水+绿色身体乳300ml,BXS002001,粉色PHOEBE香水,BSR114001,绿色身体乳300ml,300 ml,未匹配,
,BXS002001+BSR115001,粉色PHOEBE香水+蓝色身体乳300ml,BXS002001,粉色PHOEBE香水,BSR115001,蓝色身体乳300ml,300 ml,未匹配,
,BXS002001+BSR116001,粉色PHOEBE香水+紫棕身体乳300ml,BXS002001,粉色PHOEBE香水,BSR116001,紫棕身体乳300ml,300 ml,未匹配,
B-2P0G-0149000498,BXS003001+BSR111002,黄色EDITH香水+红色身体乳180ml,BXS003001,黄色EDITH香水,BSR111002,红色身体乳180ml,180 ml,已匹配,BSR111002+BXS003001
B-2P0G-0149000223,BXS003001+BSR112002,黄色EDITH香水+粉色身体乳180ml,BXS003001,黄色EDITH香水,BSR112002,粉色身体乳180ml,180 ml,已匹配,BSR112002+BXS003001
B-2P0G-0149000131,BXS003001+BSR113002,黄色EDITH香水+黄色身体乳180ml,BXS003001,黄色EDITH香水,BSR113002,黄色身体乳180ml,180 ml,已匹配,BSR113002+BXS003001
B-2P0G-0149000224,BXS003001+BSR114002,黄色EDITH香水+绿色身体乳180ml,BXS003001,黄色EDITH香水,BSR114002,绿色身体乳180ml,180 ml,已匹配,BSR114002+BXS003001
,BXS003001+BSR115002,黄色EDITH香水+蓝色身体乳180ml,BXS003001,黄色EDITH香水,BSR115002,蓝色身体乳180ml,180 ml,未匹配,
B-2P0G-0149000225,BXS003001+BSR116002,黄色EDITH香水+紫棕身体乳180ml,BXS003001,黄色EDITH香水,BSR116002,紫棕身体乳180ml,180 ml,已匹配,BSR116002+BXS003001
,BXS003001+BSR111001,黄色EDITH香水+红色身体乳300ml,BXS003001,黄色EDITH香水,BSR111001,红色身体乳300ml,300 ml,未匹配,
,BXS003001+BSR112001,黄色EDITH香水+粉色身体乳300ml,BXS003001,黄色EDITH香水,BSR112001,粉色身体乳300ml,300 ml,未匹配,
B-2P0G-0149000134,BXS003001+BSR113001,黄色EDITH香水+黄色身体乳300ml,BXS003001,黄色EDITH香水,BSR113001,黄色身体乳300ml,300 ml,已匹配,BSR113001+BXS003001
,BXS003001+BSR114001,黄色EDITH香水+绿色身体乳300ml,BXS003001,黄色EDITH香水,BSR114001,绿色身体乳300ml,300 ml,未匹配,
,BXS003001+BSR115001,黄色EDITH香水+蓝色身体乳300ml,BXS003001,黄色EDITH香水,BSR115001,蓝色身体乳300ml,300 ml,未匹配,
,BXS003001+BSR116001,黄色EDITH香水+紫棕身体乳300ml,BXS003001,黄色EDITH香水,BSR116001,紫棕身体乳300ml,300 ml,未匹配,
B-2P0G-0149000499,BXS004001+BSR111002,绿色ALICE香水+红色身体乳180ml,BXS004001,绿色ALICE香水,BSR111002,红色身体乳180ml,180 ml,已匹配,BSR111002+BXS004001
B-2P0G-0149000226,BXS004001+BSR112002,绿色ALICE香水+粉色身体乳180ml,BXS004001,绿色ALICE香水,BSR112002,粉色身体乳180ml,180 ml,已匹配,BSR112002+BXS004001
B-2P0G-0149000227,BXS004001+BSR113002,绿色ALICE香水+黄色身体乳180ml,BXS004001,绿色ALICE香水,BSR113002,黄色身体乳180ml,180 ml,已匹配,BSR113002+BXS004001
B-2P0G-0149000132,BXS004001+BSR114002,绿色ALICE香水+绿色身体乳180ml,BXS004001,绿色ALICE香水,BSR114002,绿色身体乳180ml,180 ml,已匹配,BSR114002+BXS004001
,BXS004001+BSR115002,绿色ALICE香水+蓝色身体乳180ml,BXS004001,绿色ALICE香水,BSR115002,蓝色身体乳180ml,180 ml,未匹配,
B-2P0G-0149000228,BXS004001+BSR116002,绿色ALICE香水+紫棕身体乳180ml,BXS004001,绿色ALICE香水,BSR116002,紫棕身体乳180ml,180 ml,已匹配,BSR116002+BXS004001
,BXS004001+BSR111001,绿色ALICE香水+红色身体乳300ml,BXS004001,绿色ALICE香水,BSR111001,红色身体乳300ml,300 ml,未匹配,
,BXS004001+BSR112001,绿色ALICE香水+粉色身体乳300ml,BXS004001,绿色ALICE香水,BSR112001,粉色身体乳300ml,300 ml,未匹配,
,BXS004001+BSR113001,绿色ALICE香水+黄色身体乳300ml,BXS004001,绿色ALICE香水,BSR113001,黄色身体乳300ml,300 ml,未匹配,
B-2P0G-0149000135,BXS004001+BSR114001,绿色ALICE香水+绿色身体乳300ml,BXS004001,绿色ALICE香水,BSR114001,绿色身体乳300ml,300 ml,已匹配,BSR114001+BXS004001
,BXS004001+BSR115001,绿色ALICE香水+蓝色身体乳300ml,BXS004001,绿色ALICE香水,BSR115001,蓝色身体乳300ml,300 ml,未匹配,
,BXS004001+BSR116001,绿色ALICE香水+紫棕身体乳300ml,BXS004001,绿色ALICE香水,BSR116001,紫棕身体乳300ml,300 ml,未匹配,
B-2P0G-0149000218,BXS005001+BSR111002,蓝色SOLEIL香水+红色身体乳180ml,BXS005001,蓝色SOLEIL香水,BSR111002,红色身体乳180ml,180 ml,已匹配,BSR111002+BXS005001
B-2P0G-0149000229,BXS005001+BSR112002,蓝色SOLEIL香水+粉色身体乳180ml,BXS005001,蓝色SOLEIL香水,BSR112002,粉色身体乳180ml,180 ml,已匹配,BSR112002+BXS005001
B-2P0G-0149000230,BXS005001+BSR113002,蓝色SOLEIL香水+黄色身体乳180ml,BXS005001,蓝色SOLEIL香水,BSR113002,黄色身体乳180ml,180 ml,已匹配,BSR113002+BXS005001
B-2P0G-0149000231,BXS005001+BSR114002,蓝色SOLEIL香水+绿色身体乳180ml,BXS005001,蓝色SOLEIL香水,BSR114002,绿色身体乳180ml,180 ml,已匹配,BSR114002+BXS005001
B-2P0G-0149000215,BXS005001+BSR115002,蓝色SOLEIL香水+蓝色身体乳180ml,BXS005001,蓝色SOLEIL香水,BSR115002,蓝色身体乳180ml,180 ml,已匹配,BSR115002+BXS005001
